year,bank_name_standard,bank_category,slippage_ratio,npa_growth_ratio,net_to_gross_ratio,rank_slippage,rank_growth,rank_netgross,composite_risk_score
2025,MIZUHO BANK LTD,FOREIGN SECTOR,0,-1,NULL,55,60,60,175
2025,WOORI BANK,FOREIGN SECTOR,0,-1,NULL,55,60,60,175
2025,BARCLAYS BANK PLC,FOREIGN SECTOR,0,-1,NULL,55,60,60,175
2025,KEB HANA BANK,FOREIGN SECTOR,0,-1,NULL,55,60,60,175
2025,KOOKMIN BANK,FOREIGN SECTOR,0,-1,NULL,55,60,60,175
2025,SBERBANK,FOREIGN SECTOR,0,-0.379798903,0,55,56,56,167
2025,SOCIETE GENERALE,FOREIGN SECTOR,0,-0.30141844,0,55,55,56,166
2025,BANK OF BAHRAIN & KUWAIT B.S.C.,FOREIGN SECTOR,0.256117455,-0.718325177,0.017374517,47,59,55,161
2025,IDBI BANK LIMITED,PRIVATE SECTOR,0.21565549,-0.249186946,0.050336072,50,51,54,155
2025,PUNJAB NATIONAL BANK,PUBLIC SECTOR,0.120001491,-0.217621339,0.097331993,54,47,50,151
2025,BANK OF CEYLON,FOREIGN SECTOR,0,-0.256559767,0.243697479,55,53,31,139
2025,INDIAN BANK,PUBLIC SECTOR,0.274157823,-0.138700228,0.061035731,45,40,53,138
2025,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,FOREIGN SECTOR,0,0,0,55,26,56,137
2025,NAINITAL BANK LTD,PRIVATE SECTOR,0.163067198,-0.031279003,0.067115484,53,30,52,135
2025,CANARA BANK,PUBLIC SECTOR,0.210417436,-0.223494644,0.23320647,51,48,34,133
2025,UNION BANK OF INDIA,PUBLIC SECTOR,0.280152342,-0.179762368,0.168860702,44,44,42,130
2025,CENTRAL BANK OF INDIA,PUBLIC SECTOR,0.308154782,-0.186551726,0.167293963,42,45,43,130
2025,BANK OF INDIA,PUBLIC SECTOR,0.260035631,-0.254735243,0.24637993,46,52,30,128
2025,PUNJAB AND SIND BANK,PUBLIC SECTOR,0.176282594,-0.277640477,0.278054397,52,54,22,128
2025,DBS BANK INDIA LIMITED,FOREIGN SECTOR,0.459057819,-0.141974172,0.097832447,33,42,49,124
2025,STANDARD CHARTERED BANK,FOREIGN SECTOR,0.616328332,-0.245979427,0.141614556,26,50,44,120
2025,JAMMU & KASHMIR BANK LTD,PRIVATE SECTOR,0.240866189,-0.08880789,0.226925467,49,36,35,120
2025,INDIAN OVERSEAS BANK,PUBLIC SECTOR,0.533899091,-0.212925882,0.170513789,29,46,41,116
2025,CITIBANK N.A,FOREIGN SECTOR,6.541160869,-0.465673773,0,2,58,56,116
2025,KARUR VYSYA BANK LTD,PRIVATE SECTOR,0.462587842,-0.383856227,0.258974758,32,57,26,115
2025,UCO BANK,PUBLIC SECTOR,0.347795479,-0.084286534,0.180502286,38,34,40,112
2025,STATE BANK OF INDIA,PUBLIC SECTOR,0.247015621,-0.087760466,0.25581255,48,35,27,110
2025,BANK OF BARODA,PUBLIC SECTOR,0.292462091,-0.125614013,0.251275378,43,38,29,110
2025,SOUTH INDIAN BANK LTD,PRIVATE SECTOR,0.324952905,-0.226636172,0.282344705,39,49,20,108
2025,BANK OF MAHARASHTRA,PUBLIC SECTOR,0.440343852,0.091694604,0.103185073,34,22,48,104
2025,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED,FOREIGN SECTOR,0.59177526,0.001768057,0.084106855,27,25,51,103
2025,SONALI BANK PLC,FOREIGN SECTOR,0.313333333,0.251111111,0.122557726,40,14,46,100
2025,FEDERAL BANK LTD,PRIVATE SECTOR,0.407856706,-0.033856127,0.237771795,36,32,32,100
2025,ICICI BANK LIMITED,PRIVATE SECTOR,0.739592376,-0.138785533,0.237613665,24,41,33,98
2025,TAMILNAD MERCANTILE BANK LTD,PRIVATE SECTOR,0.309115571,-0.032918304,0.288511679,41,31,19,91
2025,DHANLAXMI BANK LIMITED,PRIVATE SECTOR,0.361482396,-0.135561834,0.323913103,37,39,15,91
2025,DOHA BANK Q.P.S.C.,FOREIGN SECTOR,0,0,0.463180363,55,26,6,87
2025,YES BANK LIMITED,PRIVATE SECTOR,1.278160279,-0.0117889,0.203307746,19,28,39,86
2025,RBL BANK LTD,PRIVATE SECTOR,1.810997063,0.085646222,0.109833014,13,24,47,84
2025,CITY UNION BANK LIMITED,PRIVATE SECTOR,0.439466575,-0.116618044,0.398658259,35,37,9,81
